year,cat,count
1894,Motorcycle accident,0
1895,Motorcycle accident,0
1896,Motorcycle accident,0
1897,Motorcycle accident,0
1898,Motorcycle accident,0
1899,Motorcycle accident,0
1900,Motorcycle accident,0
1901,Motorcycle accident,0
1902,Motorcycle accident,0
1903,Motorcycle accident,0
1904,Motorcycle accident,0
1905,Motorcycle accident,0
1906,Motorcycle accident,0
1907,Motorcycle accident,0
1908,Motorcycle accident,0
1909,Motorcycle accident,0
1910,Motorcycle accident,0
1911,Motorcycle accident,1
1912,Motorcycle accident,1
1913,Motorcycle accident,1
1914,Motorcycle accident,3
1915,Motorcycle accident,3
1916,Motorcycle accident,8
1917,Motorcycle accident,5
1918,Motorcycle accident,6
1919,Motorcycle accident,4
1920,Motorcycle accident,9
1921,Motorcycle accident,16
1922,Motorcycle accident,20
1923,Motorcycle accident,26
1924,Motorcycle accident,22
1925,Motorcycle accident,32
1926,Motorcycle accident,24
1927,Motorcycle accident,32
1928,Motorcycle accident,24
1929,Motorcycle accident,34
1930,Motorcycle accident,48
1931,Motorcycle accident,24
1932,Motorcycle accident,34
1933,Motorcycle accident,27
1934,Motorcycle accident,29
1935,Motorcycle accident,34
1936,Motorcycle accident,21
1937,Motorcycle accident,26
1938,Motorcycle accident,30
1939,Motorcycle accident,17
1940,Motorcycle accident,17
1941,Motorcycle accident,16
1942,Motorcycle accident,14
1943,Motorcycle accident,12
1944,Motorcycle accident,12
1945,Motorcycle accident,17
1946,Motorcycle accident,15
1947,Motorcycle accident,8
1948,Motorcycle accident,11
1949,Motorcycle accident,7
1950,Motorcycle accident,12
1951,Motorcycle accident,16
1952,Motorcycle accident,9
1953,Motorcycle accident,12
1954,Motorcycle accident,10
1955,Motorcycle accident,7
1956,Motorcycle accident,8
1957,Motorcycle accident,10
1958,Motorcycle accident,8
1959,Motorcycle accident,8
1960,Motorcycle accident,10
1961,Motorcycle accident,14
1962,Motorcycle accident,7
1963,Motorcycle accident,9
1964,Motorcycle accident,8
1965,Motorcycle accident,7
1966,Motorcycle accident,13
1967,Motorcycle accident,10
1968,Motorcycle accident,10
1969,Motorcycle accident,9
1970,Motorcycle accident,9
1971,Motorcycle accident,7
1972,Motorcycle accident,1
1973,Motorcycle accident,6
1974,Motorcycle accident,6
1975,Motorcycle accident,7
1976,Motorcycle accident,3
1977,Motorcycle accident,3
1978,Motorcycle accident,2
1979,Motorcycle accident,7
1980,Motorcycle accident,5
1981,Motorcycle accident,4
1982,Motorcycle accident,3
1983,Motorcycle accident,9
1984,Motorcycle accident,4
1985,Motorcycle accident,3
1986,Motorcycle accident,7
1987,Motorcycle accident,4
1988,Motorcycle accident,5
1989,Motorcycle accident,6
1990,Motorcycle accident,7
1991,Motorcycle accident,2
1992,Motorcycle accident,6
1993,Motorcycle accident,1
1994,Motorcycle accident,8
1995,Motorcycle accident,2
1996,Motorcycle accident,4
1997,Motorcycle accident,4
1998,Motorcycle accident,4
1999,Motorcycle accident,6
2000,Motorcycle accident,11
2001,Motorcycle accident,7
2002,Motorcycle accident,6
2003,Motorcycle accident,8
2004,Motorcycle accident,8
2005,Motorcycle accident,4
2006,Motorcycle accident,8
2007,Motorcycle accident,8
2008,Motorcycle accident,9
2009,Motorcycle accident,3
2010,Motorcycle accident,5
2011,Motorcycle accident,5
2012,Motorcycle accident,5
2013,Motorcycle accident,5
2014,Motorcycle accident,4
2015,Motorcycle accident,3
2016,Motorcycle accident,3
1791,Heart attack,0
1792,Heart attack,0
1794,Heart attack,0
1797,Heart attack,0
1804,Heart attack,0
1806,Heart attack,0
1807,Heart attack,0
1808,Heart attack,0
1810,Heart attack,0
1811,Heart attack,0
1814,Heart attack,0
1816,Heart attack,0
1818,Heart attack,0
1823,Heart attack,0
1824,Heart attack,0
1825,Heart attack,0
1827,Heart attack,0
1828,Heart attack,0
1830,Heart attack,0
1832,Heart attack,0
1833,Heart attack,0
1834,Heart attack,0
1836,Heart attack,0
1837,Heart attack,0
1838,Heart attack,0
1839,Heart attack,0
1840,Heart attack,0
1841,Heart attack,0
1842,Heart attack,0
1843,Heart attack,0
1844,Heart attack,0
1845,Heart attack,0
1847,Heart attack,0
1848,Heart attack,0
1849,Heart attack,0
1850,Heart attack,0
1851,Heart attack,0
1852,Heart attack,0
1853,Heart attack,0
1854,Heart attack,0
1855,Heart attack,0
1856,Heart attack,0
1857,Heart attack,0
1858,Heart attack,0
1859,Heart attack,0
1860,Heart attack,0
1861,Heart attack,0
1862,Heart attack,0
1863,Heart attack,0
1864,Heart attack,0
1865,Heart attack,0
1866,Heart attack,0
1867,Heart attack,0
1868,Heart attack,1
1869,Heart attack,0
1870,Heart attack,0
1871,Heart attack,0
1872,Heart attack,0
1873,Heart attack,0
1874,Heart attack,1
1875,Heart attack,1
1876,Heart attack,1
1877,Heart attack,0
1878,Heart attack,0
1879,Heart attack,0
1880,Heart attack,0
1881,Heart attack,0
1882,Heart attack,1
1883,Heart attack,1
1884,Heart attack,0
1885,Heart attack,0
1886,Heart attack,0
1887,Heart attack,0
1888,Heart attack,0
1889,Heart attack,1
1890,Heart attack,1
1891,Heart attack,1
1892,Heart attack,1
1893,Heart attack,0
1894,Heart attack,2
1895,Heart attack,1
1896,Heart attack,0
1897,Heart attack,0
1898,Heart attack,0
1899,Heart attack,0
1900,Heart attack,0
1901,Heart attack,0
1902,Heart attack,1
1903,Heart attack,2
1904,Heart attack,2
1905,Heart attack,3
1906,Heart attack,2
1907,Heart attack,1
1908,Heart attack,1
1909,Heart attack,1
1910,Heart attack,0
1911,Heart attack,1
1912,Heart attack,1
1913,Heart attack,0
1914,Heart attack,0
1915,Heart attack,1
1916,Heart attack,0
1917,Heart attack,0
1918,Heart attack,0
1919,Heart attack,1
1920,Heart attack,3
1921,Heart attack,1
1922,Heart attack,1
1923,Heart attack,2
1924,Heart attack,2
1925,Heart attack,3
1926,Heart attack,2
1927,Heart attack,2
1928,Heart attack,2
1929,Heart attack,4
1930,Heart attack,5
1931,Heart attack,2
1932,Heart attack,3
1933,Heart attack,3
1934,Heart attack,7
1935,Heart attack,3
1936,Heart attack,7
1937,Heart attack,3
1938,Heart attack,7
1939,Heart attack,5
1940,Heart attack,4
1941,Heart attack,5
1942,Heart attack,3
1943,Heart attack,4
1944,Heart attack,8
1945,Heart attack,5
1946,Heart attack,7
1947,Heart attack,1
1948,Heart attack,6
1949,Heart attack,12
1950,Heart attack,5
1951,Heart attack,7
1952,Heart attack,4
1953,Heart attack,8
1954,Heart attack,7
1955,Heart attack,12
1956,Heart attack,13
1957,Heart attack,9
1958,Heart attack,6
1959,Heart attack,7
1960,Heart attack,10
1961,Heart attack,11
1962,Heart attack,14
1963,Heart attack,13
1964,Heart attack,11
1965,Heart attack,9
1966,Heart attack,13
1967,Heart attack,19
1968,Heart attack,14
1969,Heart attack,20
1970,Heart attack,8
1971,Heart attack,14
1972,Heart attack,9
1973,Heart attack,16
1974,Heart attack,20
1975,Heart attack,14
1976,Heart attack,11
1977,Heart attack,8
1978,Heart attack,18
1979,Heart attack,15
1980,Heart attack,15
1981,Heart attack,15
1982,Heart attack,7
1983,Heart attack,11
1984,Heart attack,15
1985,Heart attack,11
1986,Heart attack,8
1987,Heart attack,14
1988,Heart attack,19
1989,Heart attack,15
1990,Heart attack,9
1991,Heart attack,9
1992,Heart attack,17
1993,Heart attack,7
1994,Heart attack,8
1995,Heart attack,18
1996,Heart attack,16
1997,Heart attack,15
1998,Heart attack,17
1999,Heart attack,22
2000,Heart attack,8
2001,Heart attack,6
2002,Heart attack,11
2003,Heart attack,7
2004,Heart attack,16
2005,Heart attack,20
2006,Heart attack,16
2007,Heart attack,12
2008,Heart attack,13
2009,Heart attack,10
2010,Heart attack,19
2011,Heart attack,13
2012,Heart attack,10
2013,Heart attack,10
2014,Heart attack,20
2015,Heart attack,17
2016,Heart attack,4
1791,Vehicular assault,0
1792,Vehicular assault,0
1794,Vehicular assault,0
1797,Vehicular assault,0
1804,Vehicular assault,0
1806,Vehicular assault,0
1807,Vehicular assault,0
1808,Vehicular assault,0
1810,Vehicular assault,0
1811,Vehicular assault,0
1814,Vehicular assault,0
1816,Vehicular assault,0
1818,Vehicular assault,0
1823,Vehicular assault,0
1824,Vehicular assault,0
1825,Vehicular assault,0
1827,Vehicular assault,0
1828,Vehicular assault,0
1830,Vehicular assault,0
1832,Vehicular assault,0
1833,Vehicular assault,0
1834,Vehicular assault,0
1836,Vehicular assault,0
1837,Vehicular assault,0
1838,Vehicular assault,0
1839,Vehicular assault,0
1840,Vehicular assault,0
1841,Vehicular assault,0
1842,Vehicular assault,0
1843,Vehicular assault,0
1844,Vehicular assault,0
1845,Vehicular assault,0
1847,Vehicular assault,0
1848,Vehicular assault,0
1849,Vehicular assault,0
1850,Vehicular assault,0
1851,Vehicular assault,0
1852,Vehicular assault,0
1853,Vehicular assault,0
1854,Vehicular assault,0
1855,Vehicular assault,0
1856,Vehicular assault,0
1857,Vehicular assault,0
1858,Vehicular assault,0
1859,Vehicular assault,0
1860,Vehicular assault,0
1861,Vehicular assault,0
1862,Vehicular assault,0
1863,Vehicular assault,0
1864,Vehicular assault,0
1865,Vehicular assault,0
1866,Vehicular assault,0
1867,Vehicular assault,0
1868,Vehicular assault,0
1869,Vehicular assault,0
1870,Vehicular assault,0
1871,Vehicular assault,0
1872,Vehicular assault,0
1873,Vehicular assault,0
1874,Vehicular assault,0
1875,Vehicular assault,0
1876,Vehicular assault,0
1877,Vehicular assault,0
1878,Vehicular assault,0
1879,Vehicular assault,0
1880,Vehicular assault,0
1881,Vehicular assault,0
1882,Vehicular assault,0
1883,Vehicular assault,0
1884,Vehicular assault,0
1885,Vehicular assault,0
1886,Vehicular assault,0
1887,Vehicular assault,0
1888,Vehicular assault,0
1889,Vehicular assault,0
1890,Vehicular assault,0
1891,Vehicular assault,0
1892,Vehicular assault,0
1893,Vehicular assault,0
1894,Vehicular assault,0
1895,Vehicular assault,0
1896,Vehicular assault,0
1897,Vehicular assault,0
1898,Vehicular assault,0
1899,Vehicular assault,0
1900,Vehicular assault,0
1901,Vehicular assault,0
1902,Vehicular assault,0
1903,Vehicular assault,0
1904,Vehicular assault,0
1905,Vehicular assault,0
1906,Vehicular assault,0
1907,Vehicular assault,0
1908,Vehicular assault,0
1909,Vehicular assault,0
1910,Vehicular assault,0
1911,Vehicular assault,0
1912,Vehicular assault,0
1913,Vehicular assault,0
1914,Vehicular assault,2
1915,Vehicular assault,3
1916,Vehicular assault,0
1917,Vehicular assault,3
1918,Vehicular assault,3
1919,Vehicular assault,0
1920,Vehicular assault,3
1921,Vehicular assault,7
1922,Vehicular assault,3
1923,Vehicular assault,3
1924,Vehicular assault,5
1925,Vehicular assault,5
1926,Vehicular assault,4
1927,Vehicular assault,4
1928,Vehicular assault,9
1929,Vehicular assault,7
1930,Vehicular assault,9
1931,Vehicular assault,10
1932,Vehicular assault,6
1933,Vehicular assault,4
1934,Vehicular assault,7
1935,Vehicular assault,6
1936,Vehicular assault,11
1937,Vehicular assault,10
1938,Vehicular assault,3
1939,Vehicular assault,4
1940,Vehicular assault,5
1941,Vehicular assault,11
1942,Vehicular assault,7
1943,Vehicular assault,6
1944,Vehicular assault,4
1945,Vehicular assault,2
1946,Vehicular assault,8
1947,Vehicular assault,4
1948,Vehicular assault,4
1949,Vehicular assault,2
1950,Vehicular assault,5
1951,Vehicular assault,5
1952,Vehicular assault,4
1953,Vehicular assault,4
1954,Vehicular assault,5
1955,Vehicular assault,7
1956,Vehicular assault,6
1957,Vehicular assault,4
1958,Vehicular assault,10
1959,Vehicular assault,10
1960,Vehicular assault,4
1961,Vehicular assault,4
1962,Vehicular assault,7
1963,Vehicular assault,5
1964,Vehicular assault,8
1965,Vehicular assault,5
1966,Vehicular assault,8
1967,Vehicular assault,9
1968,Vehicular assault,12
1969,Vehicular assault,10
1970,Vehicular assault,9
1971,Vehicular assault,4
1972,Vehicular assault,8
1973,Vehicular assault,8
1974,Vehicular assault,15
1975,Vehicular assault,11
1976,Vehicular assault,17
1977,Vehicular assault,20
1978,Vehicular assault,11
1979,Vehicular assault,13
1980,Vehicular assault,14
1981,Vehicular assault,18
1982,Vehicular assault,18
1983,Vehicular assault,12
1984,Vehicular assault,7
1985,Vehicular assault,14
1986,Vehicular assault,13
1987,Vehicular assault,10
1988,Vehicular assault,9
1989,Vehicular assault,20
1990,Vehicular assault,16
1991,Vehicular assault,8
1992,Vehicular assault,19
1993,Vehicular assault,15
1994,Vehicular assault,6
1995,Vehicular assault,8
1996,Vehicular assault,11
1997,Vehicular assault,11
1998,Vehicular assault,10
1999,Vehicular assault,9
2000,Vehicular assault,14
2001,Vehicular assault,18
2002,Vehicular assault,12
2003,Vehicular assault,9
2004,Vehicular assault,18
2005,Vehicular assault,15
2006,Vehicular assault,17
2007,Vehicular assault,10
2008,Vehicular assault,13
2009,Vehicular assault,9
2010,Vehicular assault,13
2011,Vehicular assault,12
2012,Vehicular assault,11
2013,Vehicular assault,5
2014,Vehicular assault,10
2015,Vehicular assault,8
2016,Vehicular assault,8
1791,Struck by vehicle,0
1792,Struck by vehicle,0
1794,Struck by vehicle,0
1797,Struck by vehicle,0
1804,Struck by vehicle,0
1806,Struck by vehicle,0
1807,Struck by vehicle,0
1808,Struck by vehicle,0
1810,Struck by vehicle,0
1811,Struck by vehicle,0
1814,Struck by vehicle,0
1816,Struck by vehicle,0
1818,Struck by vehicle,0
1823,Struck by vehicle,0
1824,Struck by vehicle,0
1825,Struck by vehicle,0
1827,Struck by vehicle,0
1828,Struck by vehicle,0
1830,Struck by vehicle,0
1832,Struck by vehicle,0
1833,Struck by vehicle,0
1834,Struck by vehicle,0
1836,Struck by vehicle,0
1837,Struck by vehicle,0
1838,Struck by vehicle,0
1839,Struck by vehicle,0
1840,Struck by vehicle,0
1841,Struck by vehicle,0
1842,Struck by vehicle,0
1843,Struck by vehicle,0
1844,Struck by vehicle,0
1845,Struck by vehicle,0
1847,Struck by vehicle,0
1848,Struck by vehicle,0
1849,Struck by vehicle,0
1850,Struck by vehicle,0
1851,Struck by vehicle,0
1852,Struck by vehicle,0
1853,Struck by vehicle,0
1854,Struck by vehicle,0
1855,Struck by vehicle,0
1856,Struck by vehicle,0
1857,Struck by vehicle,0
1858,Struck by vehicle,0
1859,Struck by vehicle,0
1860,Struck by vehicle,0
1861,Struck by vehicle,0
1862,Struck by vehicle,0
1863,Struck by vehicle,0
1864,Struck by vehicle,0
1865,Struck by vehicle,0
1866,Struck by vehicle,0
1867,Struck by vehicle,0
1868,Struck by vehicle,0
1869,Struck by vehicle,0
1870,Struck by vehicle,0
1871,Struck by vehicle,0
1872,Struck by vehicle,0
1873,Struck by vehicle,0
1874,Struck by vehicle,0
1875,Struck by vehicle,0
1876,Struck by vehicle,0
1877,Struck by vehicle,0
1878,Struck by vehicle,0
1879,Struck by vehicle,0
1880,Struck by vehicle,0
1881,Struck by vehicle,0
1882,Struck by vehicle,0
1883,Struck by vehicle,0
1884,Struck by vehicle,0
1885,Struck by vehicle,0
1886,Struck by vehicle,0
1887,Struck by vehicle,0
1888,Struck by vehicle,0
1889,Struck by vehicle,0
1890,Struck by vehicle,0
1891,Struck by vehicle,0
1892,Struck by vehicle,0
1893,Struck by vehicle,0
1894,Struck by vehicle,0
1895,Struck by vehicle,0
1896,Struck by vehicle,0
1897,Struck by vehicle,0
1898,Struck by vehicle,0
1899,Struck by vehicle,1
1900,Struck by vehicle,0
1901,Struck by vehicle,1
1902,Struck by vehicle,0
1903,Struck by vehicle,0
1904,Struck by vehicle,0
1905,Struck by vehicle,2
1906,Struck by vehicle,0
1907,Struck by vehicle,0
1908,Struck by vehicle,2
1909,Struck by vehicle,0
1910,Struck by vehicle,0
1911,Struck by vehicle,1
1912,Struck by vehicle,2
1913,Struck by vehicle,3
1914,Struck by vehicle,1
1915,Struck by vehicle,4
1916,Struck by vehicle,7
1917,Struck by vehicle,2
1918,Struck by vehicle,3
1919,Struck by vehicle,6
1920,Struck by vehicle,4
1921,Struck by vehicle,6
1922,Struck by vehicle,4
1923,Struck by vehicle,6
1924,Struck by vehicle,7
1925,Struck by vehicle,9
1926,Struck by vehicle,5
1927,Struck by vehicle,10
1928,Struck by vehicle,4
1929,Struck by vehicle,15
1930,Struck by vehicle,18
1931,Struck by vehicle,21
1932,Struck by vehicle,11
