year,cat,count
1791,Gunfire,2
1792,Gunfire,1
1794,Gunfire,1
1797,Gunfire,1
1804,Gunfire,1
1806,Gunfire,0
1807,Gunfire,1
1808,Gunfire,2
1810,Gunfire,1
1811,Gunfire,1
1814,Gunfire,1
1816,Gunfire,1
1818,Gunfire,0
1823,Gunfire,0
1824,Gunfire,0
1825,Gunfire,1
1827,Gunfire,0
1828,Gunfire,1
1830,Gunfire,1
1832,Gunfire,0
1833,Gunfire,0
1834,Gunfire,0
1836,Gunfire,0
1837,Gunfire,5
1838,Gunfire,1
1839,Gunfire,8
1840,Gunfire,1
1841,Gunfire,2
1842,Gunfire,1
1843,Gunfire,1
1844,Gunfire,2
1845,Gunfire,2
1847,Gunfire,3
1848,Gunfire,1
1849,Gunfire,1
1850,Gunfire,4
1851,Gunfire,3
1852,Gunfire,3
1853,Gunfire,1
1854,Gunfire,5
1855,Gunfire,9
1856,Gunfire,6
1857,Gunfire,11
1858,Gunfire,9
1859,Gunfire,9
1860,Gunfire,7
1861,Gunfire,3
1862,Gunfire,4
1863,Gunfire,5
1864,Gunfire,13
1865,Gunfire,11
1866,Gunfire,14
1867,Gunfire,18
1868,Gunfire,18
1869,Gunfire,26
1870,Gunfire,14
1871,Gunfire,29
1872,Gunfire,24
1873,Gunfire,19
1874,Gunfire,21
1875,Gunfire,22
1876,Gunfire,24
1877,Gunfire,22
1878,Gunfire,45
1879,Gunfire,25
1880,Gunfire,29
1881,Gunfire,44
1882,Gunfire,39
1883,Gunfire,37
1884,Gunfire,41
1885,Gunfire,58
1886,Gunfire,39
1887,Gunfire,33
1888,Gunfire,53
1889,Gunfire,44
1890,Gunfire,51
1891,Gunfire,47
1892,Gunfire,73
1893,Gunfire,55
1894,Gunfire,58
1895,Gunfire,62
1896,Gunfire,48
1897,Gunfire,35
1898,Gunfire,67
1899,Gunfire,69
1900,Gunfire,69
1901,Gunfire,83
1902,Gunfire,95
1903,Gunfire,83
1904,Gunfire,70
1905,Gunfire,69
1906,Gunfire,74
1907,Gunfire,95
1908,Gunfire,105
1909,Gunfire,85
1910,Gunfire,100
1911,Gunfire,131
1912,Gunfire,100
1913,Gunfire,103
1914,Gunfire,104
1915,Gunfire,121
1916,Gunfire,126
1917,Gunfire,125
1918,Gunfire,131
1919,Gunfire,187
1920,Gunfire,173
1921,Gunfire,206
1922,Gunfire,184
1923,Gunfire,173
1924,Gunfire,198
1925,Gunfire,177
1926,Gunfire,183
1927,Gunfire,181
1928,Gunfire,170
1929,Gunfire,158
1930,Gunfire,193
1931,Gunfire,188
1932,Gunfire,187
1933,Gunfire,159
1934,Gunfire,146
1935,Gunfire,128
1936,Gunfire,98
1937,Gunfire,90
1938,Gunfire,92
1939,Gunfire,64
1940,Gunfire,63
1941,Gunfire,73
1942,Gunfire,52
1943,Gunfire,46
1944,Gunfire,46
1945,Gunfire,54
1946,Gunfire,67
1947,Gunfire,73
1948,Gunfire,62
1949,Gunfire,55
1950,Gunfire,53
1951,Gunfire,52
1952,Gunfire,59
1953,Gunfire,58
1954,Gunfire,66
1955,Gunfire,43
1956,Gunfire,37
1957,Gunfire,58
1958,Gunfire,43
1959,Gunfire,44
1960,Gunfire,50
1961,Gunfire,59
1962,Gunfire,58
1963,Gunfire,61
1964,Gunfire,62
1965,Gunfire,63
1966,Gunfire,64
1967,Gunfire,86
1968,Gunfire,75
1969,Gunfire,101
1970,Gunfire,111
1971,Gunfire,143
1972,Gunfire,121
1973,Gunfire,144
1974,Gunfire,140
1975,Gunfire,143
1976,Gunfire,105
1977,Gunfire,98
1978,Gunfire,101
1979,Gunfire,112
1980,Gunfire,104
1981,Gunfire,93
1982,Gunfire,93
1983,Gunfire,81
1984,Gunfire,73
1985,Gunfire,74
1986,Gunfire,75
1987,Gunfire,75
1988,Gunfire,79
1989,Gunfire,69
1990,Gunfire,60
1991,Gunfire,73
1992,Gunfire,64
1993,Gunfire,78
1994,Gunfire,85
1995,Gunfire,70
1996,Gunfire,60
1997,Gunfire,69
1998,Gunfire,64
1999,Gunfire,43
2000,Gunfire,50
2001,Gunfire,65
2002,Gunfire,57
2003,Gunfire,48
2004,Gunfire,56
2005,Gunfire,53
2006,Gunfire,51
2007,Gunfire,67
2008,Gunfire,41
2009,Gunfire,47
2010,Gunfire,59
2011,Gunfire,68
2012,Gunfire,48
2013,Gunfire,31
2014,Gunfire,47
2015,Gunfire,39
2016,Gunfire,21
1791,Automobile accident,0
1792,Automobile accident,0
1794,Automobile accident,0
1797,Automobile accident,0
1804,Automobile accident,0
1806,Automobile accident,0
1807,Automobile accident,0
1808,Automobile accident,0
1810,Automobile accident,0
1811,Automobile accident,0
1814,Automobile accident,0
1816,Automobile accident,0
1818,Automobile accident,0
1823,Automobile accident,0
1824,Automobile accident,0
1825,Automobile accident,0
1827,Automobile accident,0
1828,Automobile accident,0
1830,Automobile accident,0
1832,Automobile accident,0
1833,Automobile accident,0
1834,Automobile accident,0
1836,Automobile accident,0
1837,Automobile accident,0
1838,Automobile accident,0
1839,Automobile accident,0
1840,Automobile accident,0
1841,Automobile accident,0
1842,Automobile accident,0
1843,Automobile accident,0
1844,Automobile accident,0
1845,Automobile accident,0
1847,Automobile accident,0
1848,Automobile accident,0
1849,Automobile accident,0
1850,Automobile accident,0
1851,Automobile accident,0
1852,Automobile accident,0
1853,Automobile accident,0
1854,Automobile accident,0
1855,Automobile accident,0
1856,Automobile accident,0
1857,Automobile accident,0
1858,Automobile accident,0
1859,Automobile accident,0
1860,Automobile accident,0
1861,Automobile accident,0
1862,Automobile accident,0
1863,Automobile accident,0
1864,Automobile accident,0
1865,Automobile accident,0
1866,Automobile accident,0
1867,Automobile accident,0
1868,Automobile accident,0
1869,Automobile accident,0
1870,Automobile accident,0
1871,Automobile accident,0
1872,Automobile accident,0
1873,Automobile accident,0
1874,Automobile accident,0
1875,Automobile accident,0
1876,Automobile accident,0
1877,Automobile accident,0
1878,Automobile accident,0
1879,Automobile accident,0
1880,Automobile accident,0
1881,Automobile accident,0
1882,Automobile accident,0
1883,Automobile accident,0
1884,Automobile accident,0
1885,Automobile accident,0
1886,Automobile accident,0
1887,Automobile accident,0
1888,Automobile accident,0
1889,Automobile accident,0
1890,Automobile accident,0
1891,Automobile accident,0
1892,Automobile accident,0
1893,Automobile accident,0
1894,Automobile accident,0
1895,Automobile accident,0
1896,Automobile accident,0
1897,Automobile accident,0
1898,Automobile accident,0
1899,Automobile accident,1
1900,Automobile accident,1
1901,Automobile accident,0
1902,Automobile accident,0
1903,Automobile accident,0
1904,Automobile accident,1
1905,Automobile accident,0
1906,Automobile accident,1
1907,Automobile accident,0
1908,Automobile accident,0
1909,Automobile accident,0
1910,Automobile accident,1
1911,Automobile accident,2
1912,Automobile accident,0
1913,Automobile accident,4
1914,Automobile accident,4
1915,Automobile accident,1
1916,Automobile accident,3
1917,Automobile accident,4
1918,Automobile accident,4
1919,Automobile accident,8
1920,Automobile accident,7
1921,Automobile accident,8
1922,Automobile accident,5
1923,Automobile accident,10
1924,Automobile accident,15
1925,Automobile accident,7
1926,Automobile accident,8
1927,Automobile accident,20
1928,Automobile accident,16
1929,Automobile accident,23
1930,Automobile accident,10
1931,Automobile accident,22
1932,Automobile accident,18
1933,Automobile accident,16
1934,Automobile accident,24
1935,Automobile accident,17
1936,Automobile accident,18
1937,Automobile accident,24
1938,Automobile accident,23
1939,Automobile accident,20
1940,Automobile accident,12
1941,Automobile accident,27
1942,Automobile accident,14
1943,Automobile accident,6
1944,Automobile accident,12
1945,Automobile accident,8
1946,Automobile accident,18
1947,Automobile accident,15
1948,Automobile accident,23
1949,Automobile accident,12
1950,Automobile accident,16
1951,Automobile accident,31
1952,Automobile accident,18
1953,Automobile accident,20
1954,Automobile accident,16
1955,Automobile accident,21
1956,Automobile accident,20
1957,Automobile accident,19
1958,Automobile accident,20
1959,Automobile accident,21
1960,Automobile accident,24
1961,Automobile accident,27
1962,Automobile accident,28
1963,Automobile accident,26
1964,Automobile accident,30
1965,Automobile accident,22
1966,Automobile accident,25
1967,Automobile accident,26
1968,Automobile accident,33
1969,Automobile accident,21
1970,Automobile accident,29
1971,Automobile accident,26
1972,Automobile accident,32
1973,Automobile accident,31
1974,Automobile accident,26
1975,Automobile accident,14
1976,Automobile accident,16
1977,Automobile accident,24
1978,Automobile accident,27
1979,Automobile accident,21
1980,Automobile accident,21
1981,Automobile accident,22
1982,Automobile accident,22
1983,Automobile accident,24
1984,Automobile accident,28
1985,Automobile accident,23
1986,Automobile accident,28
1987,Automobile accident,30
1988,Automobile accident,31
1989,Automobile accident,29
1990,Automobile accident,20
1991,Automobile accident,20
1992,Automobile accident,26
1993,Automobile accident,28
1994,Automobile accident,33
1995,Automobile accident,33
1996,Automobile accident,28
1997,Automobile accident,39
1998,Automobile accident,47
1999,Automobile accident,39
2000,Automobile accident,37
2001,Automobile accident,34
2002,Automobile accident,37
2003,Automobile accident,40
2004,Automobile accident,34
2005,Automobile accident,34
2006,Automobile accident,36
2007,Automobile accident,49
2008,Automobile accident,36
2009,Automobile accident,34
2010,Automobile accident,44
2011,Automobile accident,35
2012,Automobile accident,23
2013,Automobile accident,26
2014,Automobile accident,27
2015,Automobile accident,27
2016,Automobile accident,8
1791,Motorcycle accident,0
1792,Motorcycle accident,0
1794,Motorcycle accident,0
1797,Motorcycle accident,0
1804,Motorcycle accident,0
1806,Motorcycle accident,0
1807,Motorcycle accident,0
1808,Motorcycle accident,0
1810,Motorcycle accident,0
1811,Motorcycle accident,0
1814,Motorcycle accident,0
1816,Motorcycle accident,0
1818,Motorcycle accident,0
1823,Motorcycle accident,0
1824,Motorcycle accident,0
1825,Motorcycle accident,0
1827,Motorcycle accident,0
1828,Motorcycle accident,0
1830,Motorcycle accident,0
1832,Motorcycle accident,0
1833,Motorcycle accident,0
1834,Motorcycle accident,0
1836,Motorcycle accident,0
1837,Motorcycle accident,0
1838,Motorcycle accident,0
1839,Motorcycle accident,0
1840,Motorcycle accident,0
1841,Motorcycle accident,0
1842,Motorcycle accident,0
1843,Motorcycle accident,0
1844,Motorcycle accident,0
1845,Motorcycle accident,0
1847,Motorcycle accident,0
1848,Motorcycle accident,0
1849,Motorcycle accident,0
1850,Motorcycle accident,0
1851,Motorcycle accident,0
1852,Motorcycle accident,0
1853,Motorcycle accident,0
1854,Motorcycle accident,0
1855,Motorcycle accident,0
1856,Motorcycle accident,0
1857,Motorcycle accident,0
1858,Motorcycle accident,0
1859,Motorcycle accident,0
1860,Motorcycle accident,0
1861,Motorcycle accident,0
1862,Motorcycle accident,0
1863,Motorcycle accident,0
1864,Motorcycle accident,0
1865,Motorcycle accident,0
1866,Motorcycle accident,0
1867,Motorcycle accident,0
1868,Motorcycle accident,0
1869,Motorcycle accident,0
1870,Motorcycle accident,0
1871,Motorcycle accident,0
1872,Motorcycle accident,0
1873,Motorcycle accident,0
1874,Motorcycle accident,0
1875,Motorcycle accident,0
1876,Motorcycle accident,0
1877,Motorcycle accident,0
1878,Motorcycle accident,0
1879,Motorcycle accident,0
1880,Motorcycle accident,0
1881,Motorcycle accident,0
1882,Motorcycle accident,0
1883,Motorcycle accident,0
1884,Motorcycle accident,0
1885,Motorcycle accident,0
1886,Motorcycle accident,0
1887,Motorcycle accident,0
1888,Motorcycle accident,0
1889,Motorcycle accident,0
1890,Motorcycle accident,0
1891,Motorcycle accident,0
1892,Motorcycle accident,0
1893,Motorcycle accident,0
