id,edad,sexo,i1,ir2,ir3,i4,ir5,i6,ir7,i8,ir9,i10,ir11,i12,i13,ir14,i15,ir16,ir17,i18,i19,ir20,ir21,i22,ir23,i24,ir25,i26,ir27,i28,ir29,i30,ir31,i32,i33,i34,i35,ir36,ir37,i38,i39,ir40,ir41,i42,ir43,i44,ir45,i46,ir47,i48,i49,ir50,i51,i52,ir53,i54,ir55,i56,i57,i58,i59,i60
1,19,0,1,1,3,2,3,,2,3,2,1,3,4,3,4,4,3,1,4,2,1,4,2,1,1,1,1,3,2,3,3,3,4,1,1,2,1,1,1,1,1,1,2,1,1,3,4,1,4,3,4,4,1,2,1,1,1,3,1,2,2
2,19,0,2,4,2,3,4,3,3,4,1,2,4,4,4,4,3,3,3,4,2,3,3,2,3,4,2,2,4,3,3,3,2,1,2,3,1,2,3,3,3,3,2,1,2,1,2,4,4,4,3,4,3,2,4,3,2,2,3,2,3,2
3,20,0,2,3,4,3,2,2,3,4,2,3,3,4,2,4,3,3,3,4,2,2,3,2,1,2,3,2,4,2,3,2,3,1,4,1,1,2,3,1,1,3,2,2,1,2,1,4,2,3,2,4,4,1,4,2,2,1,2,2,3,2
4,19,0,1,3,2,3,3,2,1,3,2,3,4,3,3,3,2,,1,4,2,3,3,1,2,2,2,3,4,2,2,3,4,1,2,3,4,1,2,1,2,2,2,1,1,1,1,3,4,3,4,4,3,2,4,2,2,3,3,3,3,2
5,20,0,1,2,4,2,1,1,3,3,3,2,4,2,3,3,3,2,2,4,1,1,2,2,2,1,1,1,3,3,3,2,2,2,1,1,2,1,2,1,3,1,1,2,1,1,1,3,2,3,4,4,4,1,3,2,3,2,3,1,1,2
6,22,0,1,4,2,3,2,3,2,3,2,3,1,4,2,4,3,3,1,4,1,2,2,2,2,1,2,1,3,2,2,2,4,1,3,2,1,1,1,1,2,2,2,2,1,1,2,3,2,3,3,3,2,2,4,2,2,2,4,2,3,2
7,21,0,1,2,3,4,2,1,2,3,2,3,4,4,3,4,3,4,1,4,2,3,3,1,2,1,2,1,4,3,4,3,2,4,2,3,1,1,3,1,2,2,1,1,1,2,3,2,4,4,3,4,3,1,4,1,2,2,3,2,2,2
8,20,0,1,3,1,3,3,1,2,4,2,2,3,3,3,4,3,3,3,2,1,1,4,1,1,1,2,1,4,1,4,3,1,3,1,3,1,1,2,1,2,1,1,2,1,1,1,1,1,4,4,3,3,1,2,1,1,1,3,2,2,2
9,25,0,1,4,2,3,2,2,1,3,2,3,4,4,2,4,4,3,3,3,1,2,3,2,2,2,2,1,4,4,4,3,4,3,3,4,2,1,1,2,1,2,1,2,1,1,3,4,3,4,3,1,4,1,3,2,1,2,3,2,3,1
10,20,0,1,3,3,3,2,1,1,3,2,2,4,3,3,4,3,3,1,4,1,2,3,2,1,1,1,1,3,3,2,1,2,2,1,2,4,2,3,1,1,1,1,2,1,1,2,3,4,4,2,2,2,1,2,2,2,1,4,2,2,2
11,19,0,1,3,1,3,2,1,2,3,2,4,3,2,3,3,4,3,2,4,2,3,3,1,1,2,3,2,4,1,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,2,3,4,2,4,3,4,4,1,3,2,2,1,3,2,3,1
12,20,1,1,3,3,2,3,1,1,3,1,4,3,2,4,4,4,4,2,4,2,4,3,2,1,3,3,2,4,2,4,3,3,2,4,2,2,2,3,1,1,3,2,3,3,1,3,4,4,4,3,1,4,2,3,3,3,2,3,3,3,2
13,20,0,2,3,3,3,3,2,2,2,1,2,4,3,2,3,3,3,3,2,2,2,3,2,2,2,3,3,4,3,3,4,3,3,3,3,4,2,3,2,3,2,2,4,2,2,3,2,1,4,2,4,1,2,2,3,2,1,4,2,2,2
14,20,1,1,2,4,2,3,2,4,2,3,4,4,3,3,2,3,4,3,4,2,2,3,2,2,2,2,3,3,2,2,3,3,3,,3,2,3,1,1,3,4,2,3,2,2,2,2,2,3,3,1,4,2,3,2,1,2,3,3,3,1
15,19,0,1,4,2,3,2,3,2,3,1,3,1,3,4,3,1,3,1,1,2,2,4,1,2,1,2,1,3,2,3,2,2,1,3,2,1,2,1,2,3,3,1,2,2,3,4,3,4,3,1,3,4,2,4,2,2,3,4,2,2,1
16,22,1,1,3,3,2,4,3,1,4,3,1,2,4,4,4,3,4,3,4,1,1,2,1,4,1,2,1,4,1,3,4,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,3,3,3,3,4,2,2,2,2,2,2,1,3,1
17,20,0,1,3,3,3,3,2,2,4,3,3,3,3,4,3,4,4,2,4,2,3,2,1,4,1,2,1,3,2,3,3,4,2,2,2,2,1,3,1,2,2,4,2,1,1,2,2,1,2,3,2,3,2,2,3,2,1,3,2,3,1
