id,edad,sexo,i1,ir2,ir3,i4,ir5,i6,ir7,i8,ir9,i10,ir11,i12,i13,ir14,i15,ir16,ir17,i18,i19,ir20,ir21,i22,ir23,i24,ir25,i26,ir27,i28,ir29,i30,ir31,i32,i33,i34,i35,ir36,ir37,i38,i39,ir40,ir41,i42,ir43,i44,ir45,i46,ir47,i48,i49,ir50,i51,i52,ir53,i54,ir55,i56,i57,i58,i59,i60
18,19,0,1,3,4,3,3,2,3,2,3,1,2,3,3,4,3,4,3,2,1,2,3,2,1,1,2,2,4,2,2,1,4,4,2,2,3,2,1,2,3,1,1,2,1,2,1,3,2,3,2,4,4,1,3,1,2,1,2,1,1,1
19,19,0,1,2,3,2,2,3,2,3,2,3,2,4,3,3,3,3,1,4,2,2,1,1,2,2,2,2,3,4,3,4,4,1,4,3,3,2,2,1,2,3,1,3,2,1,2,3,3,3,2,3,3,2,2,2,2,2,3,2,2,1
20,20,1,1,2,4,2,2,2,1,1,2,3,4,1,1,3,4,4,1,4,3,2,1,1,1,1,2,2,4,1,2,1,3,4,4,1,2,1,2,1,2,2,1,2,1,1,2,1,4,3,2,2,3,1,4,1,1,2,3,2,1,1
21,19,1,1,3,4,3,2,2,1,3,4,4,4,4,3,4,4,4,3,2,1,2,3,2,3,2,2,1,3,3,4,2,2,3,2,2,3,2,3,1,3,1,1,3,3,1,2,2,2,3,3,4,3,2,3,2,2,2,2,2,3,2
22,19,1,1,2,4,3,1,2,1,3,4,2,4,3,4,3,3,3,2,4,2,2,3,1,3,2,2,1,4,3,4,2,2,3,1,3,1,2,2,1,2,3,1,2,2,2,2,1,3,4,3,3,4,2,2,1,2,1,2,2,2,2
23,19,0,1,2,4,3,2,3,1,2,2,3,2,1,2,3,4,1,3,4,3,2,2,1,3,1,2,2,3,2,1,3,4,2,4,1,3,3,1,1,3,3,2,3,1,1,2,3,4,2,3,3,2,2,3,3,3,2,2,1,3,2
24,18,0,2,3,4,4,1,2,1,3,2,2,3,2,4,4,2,4,1,3,1,2,2,2,1,1,2,1,3,2,2,3,4,4,3,1,1,2,2,2,1,3,2,2,2,2,2,1,1,2,3,3,4,1,4,2,2,3,2,2,4,1
25,20,1,2,3,4,4,1,1,2,3,3,2,3,4,3,3,2,3,3,4,2,2,2,2,4,1,1,2,4,2,3,2,3,4,1,3,3,1,1,1,1,3,2,2,1,1,3,3,4,3,4,3,4,3,3,3,1,3,3,1,1,1
26,18,0,2,2,2,2,1,2,2,3,2,3,3,4,2,3,3,3,2,4,3,2,3,2,2,2,1,2,3,3,3,2,3,1,1,2,2,2,1,1,3,3,2,1,1,2,2,3,4,3,3,4,3,2,2,2,2,1,4,2,2,2
27,17,0,1,4,4,4,2,2,2,4,1,4,3,2,3,4,4,3,2,2,2,1,1,2,2,1,2,1,4,3,3,2,4,4,3,3,3,2,2,1,1,2,2,2,1,1,3,4,2,4,4,3,2,2,4,2,2,2,2,2,3,2
28,19,1,1,4,4,3,1,2,2,3,2,3,3,4,4,4,3,3,3,3,2,3,1,1,3,1,2,1,4,3,2,2,2,3,4,3,3,2,3,1,2,3,1,2,1,2,3,4,1,4,4,4,4,2,2,2,1,1,2,2,2,1
29,23,1,2,2,3,2,2,2,2,3,2,2,4,4,1,3,3,4,4,4,2,1,3,1,1,2,2,2,4,3,2,3,3,3,1,1,2,2,3,1,1,2,1,2,2,2,2,4,4,2,3,3,1,1,2,2,2,1,4,2,2,1
30,21,1,3,3,3,4,2,1,2,2,3,4,3,2,3,3,4,3,2,2,1,1,4,2,2,1,2,1,4,2,3,3,2,4,2,3,3,1,2,1,2,1,1,2,2,1,4,4,4,4,3,4,4,2,2,2,2,1,1,3,2,1
31,20,1,1,2,2,2,3,3,4,1,4,1,2,4,3,1,1,4,3,4,4,4,1,1,3,3,,,3,1,1,4,1,4,1,2,4,4,3,1,2,2,2,2,4,1,4,3,1,4,3,2,,,3,4,4,3,3,,3,4
32,19,0,1,3,2,2,4,2,1,2,1,4,3,4,2,3,2,3,2,4,2,2,3,2,1,2,2,3,3,1,3,3,3,4,2,2,2,2,3,4,2,2,1,1,1,2,1,4,4,4,2,4,2,2,2,3,3,2,,3,2,2
33,22,0,2,2,1,3,2,3,2,2,3,1,2,4,2,3,3,4,3,4,3,3,2,2,2,3,3,2,3,2,2,3,3,4,2,2,3,2,2,1,3,1,2,1,1,2,2,3,1,3,3,3,2,2,2,2,3,2,2,2,3,2
34,20,1,2,2,3,3,4,3,2,2,3,3,2,2,3,2,2,3,1,4,2,3,1,2,1,2,2,2,3,1,1,3,4,3,4,3,3,2,1,1,2,2,1,3,1,1,3,3,3,2,3,1,3,2,2,2,2,2,2,2,3,2
35,20,0,1,3,3,2,2,3,3,3,2,3,4,3,2,3,4,2,3,4,1,3,2,2,2,3,3,2,3,3,3,3,2,3,3,3,2,2,2,1,3,1,1,1,2,2,2,4,4,3,3,3,2,2,3,3,3,4,2,3,2,2
36,19,0,1,3,2,1,3,3,1,4,1,3,4,2,4,4,4,4,2,4,1,3,4,1,2,3,1,1,4,2,4,4,3,4,4,4,1,2,3,1,2,2,1,1,2,1,3,4,4,3,2,3,2,2,2,1,2,2,4,2,3,1
37,19,0,1,2,4,2,2,2,2,3,2,4,2,2,4,2,4,3,2,4,3,1,3,2,4,1,3,2,3,3,3,2,4,2,1,4,2,3,3,1,2,2,1,4,3,2,1,4,3,4,2,3,2,3,3,2,3,1,3,3,2,2
38,21,1,2,3,3,2,1,3,3,2,2,3,2,2,4,2,2,3,3,4,2,2,3,2,2,2,3,2,3,2,3,3,3,3,2,3,3,2,2,1,2,2,2,3,2,1,1,2,2,3,1,3,4,2,3,2,3,1,3,3,3,2
39,20,0,1,4,4,4,4,3,1,4,1,3,4,3,4,4,2,,2,1,2,3,2,3,4,1,3,2,2,3,2,3,4,4,4,1,1,2,3,1,2,2,1,2,2,2,3,1,3,3,4,3,1,3,1,2,3,3,2,2,2,2
40,18,0,1,4,3,2,1,2,2,4,3,2,4,4,4,3,3,1,2,4,1,1,3,2,3,1,1,1,3,1,3,3,2,2,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,4,3,4,4,1,3,2,2,3,3,2,1,2
41,23,0,1,2,3,3,2,1,2,3,3,2,3,4,2,4,3,4,3,3,2,2,3,1,2,1,2,1,4,2,3,3,2,1,1,3,2,1,2,1,3,3,1,1,2,1,2,3,4,4,4,3,2,1,3,2,2,2,3,2,2,1
42,21,0,2,2,3,3,1,2,2,2,2,3,2,4,2,3,3,3,3,4,2,2,2,2,2,1,2,2,3,1,2,3,2,4,4,2,1,2,2,1,3,2,2,2,2,2,3,2,2,3,3,4,3,1,1,2,2,2,2,3,3,2
43,66,0,1,3,2,4,4,1,2,4,4,4,4,4,3,4,4,4,4,4,2,1,4,3,3,2,4,1,4,2,4,4,2,4,4,3,1,2,4,1,3,1,1,1,2,1,4,4,1,4,4,4,1,2,2,1,2,1,3,2,2,3
44,0,1,2,2,2,2,3,2,1,3,3,3,2,4,3,3,3,2,2,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,3,2,2,1,3,2,3,2,2,3,2,2,3,3,3,4,3,1,2,2,2,2,2,3,2
45,18,1,1,4,3,3,2,2,2,2,3,1,2,4,4,3,3,3,2,4,3,2,2,2,3,3,3,2,3,2,2,3,4,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,4,3,2,3,2,2,3,3,2,2
46,20,1,1,4,2,3,3,2,1,4,2,1,3,4,2,4,2,4,2,2,1,1,3,3,3,2,2,2,3,2,4,3,2,1,1,3,1,2,3,3,1,2,1,3,2,1,1,2,4,2,3,2,2,3,4,1,2,2,3,2,4,1
47,57,0,1,4,2,2,3,2,2,3,1,3,4,4,1,4,3,3,2,4,2,3,4,1,2,2,2,1,4,3,4,4,4,3,3,2,3,2,2,1,2,1,2,1,1,1,3,4,2,4,1,3,2,1,2,1,1,1,4,1,1,1
48,19,0,2,2,2,3,1,1,3,2,2,2,2,3,3,2,3,3,2,3,1,2,3,2,3,2,1,2,3,2,3,3,2,3,2,3,2,2,2,1,3,2,1,2,1,2,3,3,1,4,3,4,4,1,2,2,1,2,2,1,1,2
49,23,1,1,3,2,3,3,2,3,3,3,1,4,3,4,3,4,4,4,3,2,2,1,2,3,3,3,1,3,2,3,1,1,2,1,3,2,2,3,1,3,3,1,,,,,,,,,,,,,,2,2,2,3,2,2
50,19,0,2,3,2,4,1,2,2,3,1,4,2,4,4,4,3,4,2,4,2,2,3,2,2,2,2,2,4,3,3,,2,1,3,4,2,2,3,1,2,1,2,1,2,2,2,4,1,4,3,4,2,2,2,2,2,2,4,2,2,2
51,41,0,1,4,4,4,1,2,3,3,1,2,3,4,4,4,3,4,2,4,1,4,2,1,4,2,2,1,4,2,4,2,4,4,2,4,2,1,2,2,3,3,1,1,1,2,4,3,1,4,4,4,1,1,2,1,2,1,4,2,2,1
52,19,0,2,2,2,3,1,4,2,4,1,3,4,4,3,4,1,4,3,4,2,1,3,1,2,1,1,3,2,3,4,2,2,2,1,3,1,1,3,1,1,3,1,4,1,1,2,4,4,2,1,3,1,3,2,2,,1,3,2,4,1
53,20,0,1,4,2,4,3,2,2,3,3,3,4,4,3,4,3,2,2,4,2,2,3,1,1,2,2,1,3,1,4,3,2,4,4,4,2,1,2,1,1,3,1,1,1,2,3,2,4,4,3,4,3,1,3,2,2,3,3,2,3,1
54,19,0,2,3,4,1,2,1,1,4,2,3,2,4,2,3,3,4,3,4,1,2,3,2,2,2,2,2,3,2,4,3,3,1,4,3,1,2,3,1,3,4,2,2,2,2,2,3,3,4,3,4,2,2,4,2,2,2,3,2,2,2
55,21,0,3,2,2,3,3,2,1,3,3,2,3,4,3,4,3,3,2,4,3,3,3,2,2,1,2,3,3,2,3,2,2,4,1,2,2,3,2,1,2,3,2,2,3,3,2,3,4,4,3,4,3,2,4,3,2,3,3,2,2,2
56,20,1,1,4,4,3,1,3,2,4,2,4,3,4,4,3,3,4,2,4,1,4,3,4,4,1,1,1,3,2,2,3,1,1,3,1,2,1,3,2,2,4,1,3,1,2,3,2,4,4,1,3,4,1,3,1,1,3,4,1,3,2
57,18,0,1,4,3,4,2,2,3,4,1,3,3,4,3,4,4,4,2,4,4,2,3,2,2,1,1,1,4,3,3,3,2,1,1,3,1,1,2,1,2,3,1,1,1,1,3,3,4,4,3,4,4,2,2,1,1,2,1,1,1,1
58,34,1,1,3,3,2,1,2,2,4,2,2,2,4,4,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,1,2,2,3,3,2,1,2,3,1,3,3,2,1,2,2,3,2,3,3,3,2,3,2,4,2,2,2,2,2,2,2
59,20,0,1,2,2,3,1,2,2,4,4,3,4,4,3,4,3,2,1,4,2,2,1,1,2,2,1,1,4,2,2,3,4,4,4,2,1,1,2,1,3,2,1,2,1,1,1,2,1,4,3,4,4,2,3,1,1,2,4,1,1,1
60,20,0,1,3,2,3,3,1,1,3,3,2,2,4,4,4,3,3,1,3,3,3,2,2,2,2,2,1,4,1,3,2,4,1,4,3,2,1,2,1,2,1,1,1,1,2,3,3,1,4,3,3,1,2,3,2,1,2,3,2,2,1
61,22,1,2,2,4,2,1,2,1,3,3,4,4,3,4,4,4,4,3,4,1,2,1,1,2,1,1,1,4,1,3,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,4,4,2,4,2,3,4,1,4,2,2,2,3,1,2,1
62,20,1,1,3,3,1,2,1,1,2,2,3,3,4,3,3,4,3,2,4,2,3,4,1,2,3,2,1,4,3,3,3,1,2,2,2,3,2,1,1,2,1,1,1,2,1,3,4,1,4,2,2,1,1,2,1,1,1,2,3,2,1
63,18,0,1,2,2,3,1,1,3,3,2,2,3,4,3,3,4,3,2,3,2,1,3,1,2,2,1,1,3,1,3,2,3,3,4,3,1,1,1,1,3,3,1,1,1,1,3,3,3,4,3,3,4,1,3,1,2,2,3,1,1,1
64,18,1,1,3,2,3,3,2,1,4,4,3,2,4,4,2,2,3,2,2,2,3,1,3,4,1,2,1,2,1,1,3,3,3,2,2,2,1,2,2,2,1,1,4,2,1,2,1,1,3,3,3,1,1,3,1,2,3,3,2,1,2
65,19,0,2,3,1,2,3,2,2,3,2,3,1,2,3,3,3,4,1,4,3,3,2,2,2,2,3,2,4,3,2,2,4,3,4,1,3,2,2,1,2,2,2,3,1,2,3,3,2,1,4,4,2,2,2,3,2,2,3,3,3,2
66,21,1,2,1,2,3,2,3,1,2,1,1,1,3,3,3,2,4,1,4,2,4,3,1,1,1,3,2,3,1,1,2,4,3,3,1,1,1,2,1,1,3,1,3,2,2,2,2,4,4,1,3,4,2,3,3,3,4,1,2,3,3
67,20,0,1,1,4,2,1,3,2,1,3,1,3,3,2,2,2,3,1,4,2,2,3,3,3,2,3,1,3,1,1,2,4,3,3,2,3,4,3,1,1,3,2,3,4,2,1,4,4,1,3,3,4,4,3,2,2,1,3,2,3,2
68,0,0,1,3,4,3,2,2,2,4,1,1,3,3,3,4,4,3,2,4,1,2,2,1,3,1,2,1,3,1,2,2,3,1,3,3,2,2,2,1,3,1,1,1,1,2,1,3,4,4,1,4,1,1,2,2,2,1,1,2,1,3
69,55,1,1,4,2,4,4,2,2,4,4,3,4,4,1,4,4,4,4,4,4,1,4,1,2,2,2,2,4,3,4,4,4,1,1,4,1,1,2,1,2,2,2,2,1,1,4,4,4,4,4,2,2,2,4,1,2,1,4,2,2,1
70,52,1,3,2,4,3,3,4,1,2,1,2,3,2,4,3,3,3,3,1,3,2,3,2,3,2,3,4,3,3,3,2,4,3,2,2,2,2,2,2,3,1,3,2,2,3,3,3,2,2,2,2,3,3,3,2,3,2,2,3,3,2
71,21,1,1,3,3,2,3,3,2,2,2,3,3,4,4,3,2,3,3,3,2,4,2,2,3,3,1,2,3,2,2,4,3,3,1,3,3,2,3,1,2,3,2,3,2,2,3,2,3,4,4,4,4,2,1,2,1,1,2,1,2,2
72,0,0,2,4,4,3,4,2,2,3,3,3,3,3,4,3,3,4,2,2,2,3,3,2,3,3,3,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,4,3,3,3,2,2,3,2,2,1,3,2,2,2
73,55,1,1,4,2,3,1,2,1,4,2,2,4,4,3,4,4,4,1,4,1,4,4,4,4,2,2,1,4,2,4,4,4,4,1,3,1,1,1,1,1,2,1,1,1,1,4,4,1,4,4,3,1,1,3,1,2,1,2,2,1,1
74,24,1,1,2,1,2,2,3,3,4,3,2,2,2,4,2,3,4,2,4,1,1,2,2,2,1,2,1,4,1,2,1,1,3,1,2,1,2,2,1,3,2,1,2,1,1,1,2,3,3,2,3,4,1,2,1,4,3,2,2,2,1
75,19,0,2,3,3,3,3,2,2,2,2,3,4,4,2,3,2,2,2,2,2,2,3,2,3,3,2,2,3,2,3,4,4,3,4,3,3,2,3,2,3,3,2,2,2,2,1,3,3,4,3,4,3,2,2,2,2,2,3,2,2,2
76,19,0,2,3,4,2,2,1,1,2,2,3,4,4,3,3,3,3,3,4,1,3,3,2,2,2,2,3,3,4,3,4,4,3,4,4,2,2,2,1,2,2,1,2,2,1,3,3,4,4,4,4,2,2,4,2,3,1,2,2,3,3
77,25,1,1,2,4,3,4,2,1,3,3,3,4,4,4,4,3,4,3,4,2,2,1,2,4,3,2,2,4,2,3,4,4,3,2,2,2,2,1,1,3,2,1,3,2,3,4,4,3,4,3,3,4,2,1,2,2,2,2,2,3,1
78,18,0,2,1,3,3,1,2,2,1,3,4,2,3,3,3,3,4,3,4,2,3,3,1,2,,2,2,4,3,3,2,4,1,3,3,3,2,1,1,2,3,2,1,1,1,2,4,1,4,4,3,2,2,1,1,2,2,3,2,2,1
79,19,1,2,4,4,2,2,3,1,3,3,2,3,2,3,3,3,3,2,4,2,2,2,1,3,3,2,2,3,2,3,2,3,4,2,1,3,3,2,2,1,3,1,2,1,2,1,2,3,3,4,4,4,2,4,3,2,2,2,3,3,1
80,21,1,1,2,3,2,2,2,2,2,3,2,4,4,2,3,3,3,2,4,2,2,3,1,2,2,2,1,4,2,3,3,4,3,2,2,4,1,2,1,1,2,1,2,1,1,2,3,4,4,3,2,4,1,3,1,2,1,2,2,1,1
81,20,0,2,3,4,3,1,1,2,3,2,3,2,4,4,3,3,4,2,3,2,2,3,1,4,2,2,2,3,3,3,3,3,2,4,3,2,2,2,2,2,2,1,2,2,2,3,4,3,4,4,4,2,2,3,2,2,2,2,2,1,2
82,19,1,1,1,4,3,1,3,1,1,4,2,4,1,4,3,2,4,4,4,2,1,3,3,4,4,2,1,3,2,3,3,4,3,3,3,4,1,3,1,1,2,1,3,2,2,3,2,2,4,4,3,2,2,2,2,2,1,4,3,4,3
83,20,0,2,3,1,4,2,3,2,2,1,3,2,4,3,4,4,4,4,4,2,3,4,2,1,1,1,1,3,2,3,4,2,4,3,3,2,1,3,1,2,1,1,1,2,2,3,4,1,4,2,3,1,2,2,2,2,1,3,2,2,2
84,18,0,1,3,4,2,3,1,2,3,3,3,1,4,3,3,3,3,3,2,1,2,3,2,2,1,1,1,4,1,4,3,3,1,4,1,1,1,2,1,3,2,1,2,1,2,2,3,2,4,3,4,3,1,3,1,1,2,3,1,1,2
85,18,1,2,3,3,2,1,1,1,2,2,1,3,4,4,4,4,4,2,4,2,3,2,1,3,1,2,1,3,1,3,3,3,4,1,2,3,2,1,1,2,1,1,1,1,2,2,3,4,4,4,4,2,2,3,3,1,2,3,3,2,2
86,19,1,2,3,3,2,2,3,2,4,4,2,2,4,4,3,3,3,1,2,2,3,2,1,2,1,2,2,3,2,3,2,3,2,1,2,2,2,3,4,2,2,2,2,2,2,2,3,3,3,2,2,2,1,3,2,1,2,2,2,2,1
87,20,0,1,4,3,3,1,2,3,4,3,3,2,4,4,3,3,2,2,4,2,2,2,2,3,2,2,2,4,4,3,3,3,2,3,4,3,2,3,1,3,4,3,1,2,2,3,4,4,4,3,3,4,3,2,2,3,3,2,2,2,3
88,22,0,1,2,3,3,1,1,3,3,3,2,3,4,4,4,2,4,3,4,2,2,3,1,3,2,1,1,3,4,3,3,2,3,1,4,3,1,3,1,3,1,2,1,1,2,4,4,1,4,4,4,1,1,3,1,2,1,3,3,1,1
89,19,0,2,3,1,2,1,2,1,4,2,3,2,3,2,4,3,2,1,4,2,2,1,3,1,1,2,2,3,3,2,3,4,2,1,3,1,2,2,1,2,2,1,1,1,2,2,4,4,4,2,4,2,2,3,2,2,2,3,3,4,2
90,19,0,1,3,4,2,2,1,3,4,1,4,3,4,2,4,3,3,1,4,2,3,4,1,4,2,2,1,4,2,4,3,4,3,4,4,1,1,1,1,3,1,1,1,1,1,3,4,4,4,1,3,2,2,2,2,2,1,2,3,3,1
91,19,0,2,3,2,3,3,3,2,4,2,3,4,4,3,4,3,4,2,4,1,2,3,2,4,2,1,1,4,3,3,3,3,2,3,3,2,1,3,1,2,4,1,2,2,3,3,4,3,4,3,4,4,2,3,2,2,3,2,2,2,2
92,19,1,3,2,3,2,4,2,1,2,1,3,1,4,3,3,2,4,3,4,1,2,2,1,1,1,2,2,3,3,2,4,3,2,4,2,2,2,1,1,2,3,1,2,1,2,1,1,4,2,1,3,4,2,2,1,2,2,3,2,1,1
93,20,0,2,2,3,3,3,1,2,3,1,2,2,4,4,4,3,4,2,4,1,3,2,1,2,1,3,2,4,2,3,2,3,4,3,2,2,1,2,1,3,2,1,2,1,2,2,3,3,4,3,4,3,2,1,2,2,2,3,2,2,2
94,23,0,1,4,2,2,3,1,3,3,2,1,2,4,2,3,3,3,3,4,1,2,2,2,3,2,1,1,3,2,2,2,3,1,3,2,1,1,3,3,3,4,2,2,1,2,3,3,3,4,3,4,2,2,2,2,2,2,1,2,3,2
95,20,0,2,1,2,2,1,2,1,2,4,2,3,4,3,3,3,4,4,4,2,3,3,2,4,2,1,1,3,1,3,3,4,3,1,1,3,2,2,1,3,1,1,2,1,1,2,3,3,2,2,3,1,2,2,2,2,3,2,2,1,1
96,20,0,1,3,1,2,2,2,1,3,2,3,2,3,4,4,2,4,3,4,1,2,3,2,2,3,2,2,3,3,2,3,4,3,4,2,2,2,2,1,1,4,2,2,2,2,1,1,4,2,2,3,4,2,2,2,2,2,3,2,2,3
97,21,0,1,2,4,3,2,1,1,3,1,2,3,4,3,4,4,4,3,4,1,2,1,1,2,2,1,1,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,1,1,2,1,1,1,3,1,1,1
98,19,0,2,3,3,3,3,4,3,3,3,4,2,4,4,4,2,4,2,4,1,3,3,2,2,2,2,2,3,2,3,3,2,2,3,3,2,3,3,1,2,2,2,3,3,2,3,2,1,2,2,3,2,3,2,3,2,1,3,2,3,1
99,21,0,1,3,3,2,1,3,1,1,1,2,4,1,1,3,3,1,2,3,1,2,3,1,1,1,1,1,4,2,4,4,2,4,1,1,1,1,2,1,3,1,1,1,1,1,3,3,1,4,2,4,1,1,3,1,1,1,1,1,1,1
100,20,0,3,2,3,3,2,2,3,2,3,4,1,4,3,4,3,4,2,4,2,3,3,2,4,3,2,2,4,2,3,4,4,4,4,3,3,1,2,1,3,4,2,2,1,1,4,4,3,4,3,4,4,2,1,3,2,3,2,2,2,1
101,18,0,2,1,2,3,2,1,2,2,3,4,3,2,3,3,4,4,3,4,2,4,4,1,1,2,2,2,4,3,4,3,4,4,4,4,3,2,1,1,2,1,1,2,2,1,1,4,1,4,2,3,2,2,3,2,2,1,3,1,2,1
102,18,0,1,3,2,2,3,2,2,1,3,2,4,3,3,2,4,2,2,4,2,2,2,1,2,2,1,1,2,2,2,2,3,2,2,3,2,2,1,2,1,2,1,2,1,1,2,3,1,3,2,3,2,2,2,2,2,1,3,1,2,1
103,19,1,1,4,2,4,2,3,1,4,1,4,1,3,3,4,3,4,2,4,2,3,3,2,3,2,2,2,1,4,4,3,3,2,4,3,2,1,1,3,1,1,3,1,1,1,1,3,3,1,4,3,3,4,2,3,1,2,1,2,2,2
104,20,1,2,4,3,2,2,2,3,3,3,2,1,4,4,2,3,2,1,3,2,1,2,2,2,1,1,1,4,3,3,3,2,4,4,2,1,2,2,1,2,3,2,1,2,2,2,2,1,3,2,3,4,2,2,2,3,3,3,3,2,2
105,20,1,2,2,3,2,3,2,1,2,3,3,3,2,2,3,3,4,1,4,2,2,2,3,2,3,2,1,2,1,2,4,4,4,2,1,1,2,1,1,2,2,2,3,1,2,2,3,4,4,1,3,2,2,4,2,1,2,1,2,2,2
106,18,0,1,2,3,4,1,3,1,3,4,2,1,4,4,4,4,4,3,2,1,2,4,1,3,1,1,1,2,1,3,1,3,1,1,1,1,1,2,1,1,4,1,1,1,1,4,2,4,4,4,4,3,1,3,1,1,3,2,1,2,2
107,20,0,2,2,3,1,2,2,2,4,1,2,3,4,2,3,2,4,1,4,2,1,2,2,3,3,1,2,4,2,3,4,2,3,3,3,2,1,1,1,2,2,1,1,1,1,1,3,1,2,4,4,1,1,2,2,1,1,2,2,3,3
