World_Rank,Institution,Country/Region,National_Rank,Total_Score,Alumni,Awards,Higly_Cited_Researchers,Nature_Science,Publications,PCP
301-400,The University of Texas Health Science Center at San Antonio,NA,99-119,NA,0,0,22.9,8.2,26.1,20
301-400,Thomas Jefferson University,NA,99-119,NA,0,0,10.3,8.2,27.3,29.4
301-400,Tianjin University,NA,19-31,NA,0,0,0,4.1,50.4,19.3
301-400,Tongji University,NA,19-31,NA,0,0,0,8.3,48.8,17.3
301-400,Umea University,NA,9-10,NA,0,0,10.3,10.9,33.8,17.5
301-400,UNESP,NA,2-4,NA,0,0,0,7,43.9,21.9
301-400,"University at Buffalo, the State University of New York",NA,99-119,NA,0,0,10.3,9.7,38.9,16.2
301-400,University College Dublin,NA,2-3,NA,0,0,10.3,8.8,34.2,18.1
301-400,University of Bath,NA,29-33,NA,0,0,10.3,11.8,28.2,20.4
301-400,University of Canterbury,NA,2-4,NA,0,0,14.5,9.3,24.5,22.8
301-400,University of Chile,NA,1,NA,7.3,0,0,10.9,34,17.8
301-400,University of Colorado at Denver,NA,99-119,NA,0,0,10.3,11.3,31.4,11.3
301-400,University of Connecticut,NA,99-119,NA,11.5,0,0,9.1,36.3,13.7
301-400,University of Eastern Finland,NA,2,NA,0,0,17.8,5,29.4,17.2
301-400,University of Electronic Science and Technology of China,NA,19-31,NA,0,0,14.5,1.5,36.2,15.4
301-400,University of Fribourg,NA,8,NA,0,0,17.8,8.2,20.3,22.3
301-400,University of Giessen,NA,22-27,NA,0,0,10.3,10.2,30.7,16.8
301-400,University of Guelph,NA,14-16,NA,0,0,10.3,9.7,31.4,18.6
301-400,University of Halle-Wittenberg,NA,22-27,NA,0,6.7,10.3,9.4,25.1,14.6
301-400,University of Jena,NA,22-27,NA,0,0,10.3,10.7,34.1,18.4
301-400,University of Kentucky,NA,99-119,NA,10.3,0,0,11.9,40.4,17.1
301-400,University of Liege,NA,7,NA,7.3,0,0,13.9,31.6,23.5
301-400,University of Marburg,NA,22-27,NA,10.3,0,10.3,13.9,28.2,16.7
301-400,"University of Maryland, Baltimore County",NA,99-119,NA,0,0,20.5,9,17.7,21.3
301-400,University of Milan - Bicocca,NA,9-11,NA,0,0,10.3,5.7,30.8,22.4
301-400,University of Montpellier,NA,14-18,NA,10.3,0,0,16.4,37.6,14.8
301-400,University of Naples Federico II,NA,9-11,NA,0,0,0,5.8,43,18
301-400,University of North Texas,NA,99-119,NA,0,0,17.8,4.6,26.1,17.9
301-400,University of Oregon,NA,99-119,NA,8.9,0,10.3,14.5,27.1,18.4
301-400,University of Otago,NA,2-4,NA,0,0,10.3,9.5,35.1,28.6
301-400,University of Pavia,NA,9-11,NA,0,0,10.3,5.3,31.9,22.3
301-400,University of Porto,NA,2,NA,0,0,0,11.8,43.2,22.1
301-400,University of Quebec,NA,14-16,NA,0,0,10.3,9,35.3,18.7
301-400,University of Santiago Compostela,NA,4-9,NA,0,0,14.5,6.2,30.9,14.8
301-400,University of South Carolina - Columbia,NA,99-119,NA,0,0,14.5,8.6,36.2,17.2
301-400,University of Southern Denmark,NA,5,NA,0,0,10.3,10.5,38.3,20.2
301-400,University of St Andrews,NA,29-33,NA,10.3,0,0,16.4,29.6,21.8
301-400,"University of Technology, Sydney",NA,15-21,NA,0,0,14.5,4.6,30.9,21.1
301-400,University of Tehran,NA,1,NA,12.6,0,0,1.5,41.2,20.8
301-400,University of Tennessee - Knoxville,NA,99-119,NA,10.3,0,0,14.9,39.9,15.3
301-400,University of Twente,NA,12,NA,0,0,10.3,9.9,31.3,22.6
301-400,University of Vermont,NA,99-119,NA,13.6,0,10.3,11.9,26.8,15.9
301-400,University of Western Sydney,NA,15-21,NA,0,0,10.3,8,29.3,19.9
301-400,University of Wollongong,NA,15-21,NA,0,0,10.3,9,34.4,23
301-400,Victoria University of Wellington,NA,2-4,NA,11.5,0,10.3,8.3,24.6,20.7
301-400,Virginia Polytechnic Institute and State University,NA,99-119,NA,11.5,0,0,11.8,41.8,17.1
301-400,Wayne State University,NA,99-119,NA,0,0,10.3,6.6,37.2,15.1
301-400,Wuhan University,NA,19-31,NA,0,0,0,4.2,49.3,14.5
401-500,Aalto University,NA,3-5,NA,0,0,0,11.5,34.5,18
401-500,Amirkabir University of Technology,NA,2,NA,0,0,14.5,0,31.5,17.1
401-500,Aristotle University of Thessaloniki,NA,2,NA,0,0,10.3,2.1,33.6,17.4
401-500,Bangor University,NA,34-37,NA,11.5,0,10.3,7,19.6,19.6
401-500,Beijing University of Chemical Technology,NA,32-41,NA,0,0,10.3,0,29.2,18.4
401-500,Ben-Gurion University of the Negev,NA,5,NA,0,0,0,8.4,33.9,17.3
401-500,Bielefeld University,NA,28-38,NA,0,0,14.5,7.4,25.1,14.8
401-500,Brigham Young University,NA,120-137,NA,8.9,0,10.3,8.2,26.9,13.3
401-500,Brunel University,NA,34-37,NA,0,0,17.8,3.7,23.8,18.4
401-500,Cairo University,NA,1,NA,19.2,0,0,3.2,33.1,17.7
401-500,Capital Medical University,NA,32-41,NA,0,0,0,1.5,38.7,33.8
401-500,City University of New York City College,NA,120-137,NA,31.2,0,0,8.6,17.1,18.8
401-500,Donghua University,NA,32-41,NA,0,0,14.5,2.4,24.7,15.1
401-500,Ewha Womans University,NA,10-11,NA,0,0,10.3,8.8,28.2,17.6
401-500,Federal University of Rio Grande do Sul,NA,5-6,NA,0,0,0,5.5,38.7,19.3
401-500,Florida International University,NA,120-137,NA,0,0,10.3,6.5,28.9,15.9
401-500,Hong Kong Baptist University,NA,6,NA,0,0,10.3,6.2,23.1,21.3
401-500,Hunan University,NA,32-41,NA,0,0,10.3,2.4,35.1,16.1
401-500,Istanbul University,NA,1,NA,18.5,0,0,3.5,34.6,18.4
401-500,Jagiellonian University,NA,1-2,NA,10.3,0,0,4.7,35.6,18.1
401-500,Kaohsiung Medical University,NA,5-7,NA,0,0,14.5,0,27.3,20.6
401-500,Kobe University,NA,13-16,NA,14.5,0,0,10.3,31.3,15.6
401-500,Medical University of Graz,NA,4-5,NA,0,9.4,0,6.3,23,22.2
401-500,MINES ParisTech,NA,19-22,NA,13.6,24.9,0,3.7,8,13.9
401-500,Nanjing Medical University,NA,32-41,NA,0,0,0,4.2,35.3,26.2
401-500,Nanjing University of Science and Technology,NA,32-41,NA,0,0,10.3,3.3,30.8,15.1
401-500,National Cheng Kung University (NCKU),NA,5-7,NA,0,0,0,5.2,39,16.7
401-500,National Chiao Tung University,NA,5-7,NA,0,0,0,9.9,31.2,19.1
401-500,National University of Malaysia,NA,1-3,NA,0,0,14.5,1.5,26.4,14.9
401-500,Northeast Normal University,NA,32-41,NA,0,0,17.8,3,22.5,14.4
401-500,Novosibirsk State University,NA,3,NA,13.6,0,0,4.1,31.3,16.3
401-500,Ocean University of China,NA,32-41,NA,0,0,10.3,8.2,29.2,16.4
401-500,Oklahoma State University,NA,120-137,NA,0,0,10.3,4.7,28.2,15.8
401-500,Osaka City University,NA,13-16,NA,15.4,0,10.3,6.2,21.4,15.6
401-500,Paris Sorbonne University,NA,19-22,NA,0,0,0,3.7,37.1,20.5
401-500,Peking Union Medical College,NA,32-41,NA,0,0,0,11.2,35.2,16.9
401-500,Pusan National University,NA,10-11,NA,0,0,0,4.1,36.4,17.3
401-500,Rensselaer Polytechnic Institute,NA,120-137,NA,12.6,0,0,13.1,22.2,22.1
401-500,RMIT University,NA,22-23,NA,0,0,10.3,0,30.5,18.5
401-500,Saint Louis University,NA,120-137,NA,0,11.5,10.3,4.1,24,12.6
401-500,San Diego State University,NA,120-137,NA,0,0,10.3,10,25.8,17.3
401-500,Scuola Normale Superiore - Pisa,NA,12-19,NA,0,0,0,6.2,18.3,50.5
401-500,Simon Fraser University,NA,17-19,NA,0,0,0,13.3,33.4,19.1
401-500,St George's Hospital Medical School,NA,34-37,NA,0,0,14.5,4.5,15,33.3
401-500,Stellenbosch University,NA,3-4,NA,0,0,10.3,5.4,31.2,16.4
401-500,Stockholm School of Economics,NA,11,NA,0,16.3,0,NA,10.2,41.4
401-500,Swinburne University of Technology,NA,22-23,NA,0,0,10.3,10,23.3,22.2
401-500,Technical University Darmstadt,NA,28-38,NA,14.5,0,0,9.4,27.4,15.2
401-500,Texas Tech University,NA,120-137,NA,0,0,10.3,3.3,31.6,15.9
401-500,The University of Texas Medical Branch at Galveston,NA,120-137,NA,0,0,10.3,9.3,21.9,18
401-500,Tokyo University of Science,NA,13-16,NA,12.6,0,10.3,6.6,22.8,18.1
401-500,University at Albany (State University of New York),NA,120-137,NA,0,0,10.3,8,25.8,18.8
401-500,University of Alaska - Fairbanks,NA,120-137,NA,0,0,10.3,10.8,19.5,19.3
401-500,University of Aveiro,NA,3-5,NA,0,0,10.3,3,30.1,15.8
401-500,University of Bayreuth,NA,28-38,NA,0,0,10.3,14.2,22.4,14.1
401-500,University of Bremen,NA,28-38,NA,0,0,0,14.3,30.6,16.7
401-500,University of Campinas,NA,5-6,NA,0,0,0,3.7,41.6,20.6
401-500,University of Central Florida,NA,120-137,NA,0,0,10.3,8,28.7,16.9
401-500,University of Coimbra,NA,3-5,NA,0,0,0,8,33.9,17.2
401-500,University of Duesseldorf,NA,28-38,NA,11.5,0,0,11.5,31.2,16.9
401-500,University of Ferrara,NA,12-19,NA,0,0,10.3,4,25,21.3
401-500,University of Hannover,NA,28-38,NA,0,0,14.5,9.8,24.7,14.9
401-500,University of Konstanz,NA,28-38,NA,0,0,10.3,13.6,23.5,14.3
401-500,University of KwaZulu-Natal,NA,3-4,NA,0,0,0,8.3,32.8,16.7
401-500,University of Ljubljana,NA,1,NA,0,0,0,8.1,36,15.3
401-500,University of Malaya,NA,1-3,NA,0,0,0,0,45,22.2
401-500,University of Manitoba,NA,17-19,NA,0,0,0,8,35.4,16.1
401-500,University of Minho,NA,3-5,NA,0,0,10.3,4.1,29.3,15.5
401-500,University of Montana - Missoula,NA,120-137,NA,5.1,0,14.5,12.5,16.5,18
401-500,University of Nice Sophia Antipolis,NA,19-22,NA,0,0,0,17.9,25.6,13.3
401-500,University of Oulu,NA,3-5,NA,11.5,0,0,6.8,29.1,15.3
401-500,University of Palermo,NA,12-19,NA,0,0,10.3,7.1,29,17.3
401-500,University of Parma,NA,12-19,NA,0,0,17.8,1.5,25.7,20
401-500,University of Perugia,NA,12-19,NA,0,0,0,9.5,29.3,20.1
401-500,University of Potsdam,NA,28-38,NA,0,0,10.3,12.5,26,15.1
401-500,University of Regensburg,NA,28-38,NA,0,0,0,15.3,27.5,15.5
401-500,University of Roma - Tor Vergata,NA,12-19,NA,0,0,0,8.2,34.3,20.4
401-500,University of Rostock,NA,28-38,NA,0,0,10.3,9.3,25.1,14.1
401-500,University of Salerno,NA,12-19,NA,0,0,14.5,0,25.1,18.7
401-500,University of Saskatchewan,NA,17-19,NA,8.9,0,0,8.3,33.5,16.2
401-500,"University of Science, Malaysia",NA,1-3,NA,0,0,10.3,3.3,29.3,15.4
401-500,University of Stuttgart,NA,28-38,NA,18.5,0,0,10.7,26.9,15.7
401-500,University of Surrey,NA,34-37,NA,0,0,10.3,5.3,28.1,19.2
401-500,University of Tartu,NA,1,NA,0,0,10.3,11.9,25.3,14.7
401-500,University of the Basque Country,NA,10-12,NA,0,0,0,9.2,36.4,14.4
401-500,University of Turku,NA,3-5,NA,0,0,0,9.2,33.5,17.2
401-500,University of Valencia,NA,10-12,NA,0,0,0,6.9,41.5,15
401-500,University of Versailles Saint-Quentin-en-Yvelines,NA,19-22,NA,0,0,17.8,8,21.1,15.8
401-500,University of Warsaw,NA,1-2,NA,15.4,0,0,8.3,30.8,16.7
401-500,University of Wyoming,NA,120-137,NA,0,0,10.3,13.9,22.4,17.8
401-500,University of Zagreb,NA,1,NA,0,0,10.3,5.3,31.2,16.4
401-500,University Rovira i Virgili,NA,10-12,NA,0,0,10.3,5.3,23.2,21.5
401-500,Utah State University,NA,120-137,NA,13.6,0,0,11.7,24.8,16.2
401-500,Vienna University of Technology,NA,4-5,NA,0,0,0,12.5,28.6,24.4
401-500,Vita-Salute San Raffaele University,NA,12-19,NA,0,0,10.3,7.5,16,35.2
401-500,Wake Forest University,NA,120-137,NA,0,0,17.8,7.6,23.1,12.2
401-500,Waseda University,NA,13-16,NA,0,0,10.3,6.9,27.4,10.9
401-500,Washington State University,NA,120-137,NA,0,0,10.3,7.2,30.6,16.9
401-500,West Virginia University,NA,120-137,NA,0,0,14.5,5.8,29.4,12.1
401-500,Wuhan University of Technology,NA,32-41,NA,0,0,17.8,0,27.3,10.8
