ID,Genero,Edad,Educacion,FollowUP,condition,PPV_DECLARED
1,1,47,8,80,PPV_Cond1,99
2,2,21,6,90,PPV_Cond1,99
3,2,29,6,10,PPV_Cond1,99
4,2,27,7,75,PPV_Cond1,1
5,1,29,5,35,PPV_Cond1,24
6,2,28,6,14,PPV_Cond1,99
7,2,27,4,2,PPV_Cond1,99
8,2,55,6,89,PPV_Cond1,99
9,2,28,6,6,PPV_Cond1,99
10,1,46,5,0,PPV_Cond1,1
11,1,31,6,50,PPV_Cond1,94
12,1,25,3,98,PPV_Cond1,99
13,1,30,6,17,PPV_Cond1,88
14,1,19,3,100,PPV_Cond1,0
15,2,37,2,60,PPV_Cond1,1
16,2,30,3,95,PPV_Cond1,99
17,2,34,7,3,PPV_Cond1,99
18,2,42,6,26,PPV_Cond1,99
19,1,25,3,50,PPV_Cond1,70
20,2,68,7,30,PPV_Cond1,99
21,2,23,5,80,PPV_Cond1,1
22,2,22,6,100,PPV_Cond1,99
23,2,29,6,0,PPV_Cond1,99
24,2,37,5,24,PPV_Cond1,7
25,2,21,4,21,PPV_Cond1,10
26,2,28,6,10,PPV_Cond1,99
27,2,35,7,79,PPV_Cond1,99
28,1,34,8,74,PPV_Cond1,99
29,2,31,5,100,PPV_Cond2,46
30,1,31,4,100,PPV_Cond2,45
31,1,44,8,100,PPV_Cond2,46
32,1,33,8,99,PPV_Cond2,40
33,1,24,4,49,PPV_Cond2,61
34,1,42,5,61,PPV_Cond2,46
35,2,34,3,81,PPV_Cond2,46
36,1,30,6,32,PPV_Cond2,73
37,1,38,6,90,PPV_Cond2,46
38,2,21,5,96,PPV_Cond2,50
39,2,64,6,100,PPV_Cond2,46
40,1,26,9,57,PPV_Cond2,45
41,2,27,6,100,PPV_Cond2,46
42,2,30,6,95,PPV_Cond2,87
43,1,29,6,100,PPV_Cond2,46
44,1,26,6,77,PPV_Cond2,49
45,2,35,6,99,PPV_Cond2,30
46,1,28,6,69,PPV_Cond2,46
47,1,40,6,80,PPV_Cond2,50
48,1,25,6,60,PPV_Cond2,70
49,2,42,6,34,PPV_Cond2,44
50,2,32,7,50,PPV_Cond3,80
51,2,32,6,77,PPV_Cond3,99
52,2,32,4,100,PPV_Cond3,99
53,2,22,6,90,PPV_Cond3,99
54,2,30,6,45,PPV_Cond3,99
55,1,42,6,75,PPV_Cond3,80
56,2,23,6,57,PPV_Cond3,51
57,2,37,6,72,PPV_Cond3,99
58,2,33,7,3,PPV_Cond3,20
59,2,30,6,60,PPV_Cond3,30
60,2,29,6,59,PPV_Cond3,1
61,1,19,4,68,PPV_Cond3,20
62,2,36,6,1,PPV_Cond3,5
63,2,43,6,74,PPV_Cond3,30
64,1,72,10,51,PPV_Cond3,99
65,1,29,6,82,PPV_Cond3,99
66,2,60,7,100,PPV_Cond3,99
67,2,35,3,95,PPV_Cond3,99
68,1,35,6,0,PPV_Cond3,80
69,2,27,4,70,PPV_Cond3,98
70,2,24,6,95,PPV_Cond3,99
71,2,19,5,80,PPV_Cond4,80
72,1,31,5,72,PPV_Cond4,59
73,2,19,4,9,PPV_Cond4,64
74,2,24,6,57,PPV_Cond4,16
75,2,35,6,0,PPV_Cond4,79
76,2,26,7,79,PPV_Cond4,92
77,2,30,6,29,PPV_Cond4,92
78,2,32,7,55,PPV_Cond4,80
79,2,46,6,39,PPV_Cond4,90
80,2,28,3,80,PPV_Cond4,60
81,1,60,6,1,PPV_Cond4,93
82,2,29,6,100,PPV_Cond4,92
83,1,28,6,66,PPV_Cond4,28
84,2,27,6,96,PPV_Cond4,92
85,2,41,1,81,PPV_Cond4,92
86,2,35,5,28,PPV_Cond4,77
87,1,25,6,84,PPV_Cond4,74
88,2,40,3,30,PPV_Cond4,90
89,2,21,2,67,PPV_Cond4,10
90,1,43,4,69,PPV_Cond4,92
91,1,55,6,80,PPV_Cond4,92
92,2,19,9,80,PPV_Cond4,92
93,1,24,4,63,PPV_Cond4,65
94,2,25,6,99,PPV_Cond4,20
95,2,35,6,95,PPV_Cond4,92
96,1,49,3,10,PPV_Cond4,92
97,2,31,6,70,PPV_Cond4,92
98,1,36,1,90,PPV_Cond4,92
99,1,28,6,80,PPV_Cond4,90
100,1,35,6,94,PPV_Cond4,92
101,1,26,7,70,PPV_Cond4,92
102,2,55,6,15,PPV_Cond4,92
103,1,28,2,90,PPV_Cond4,80
