Id,AccuracyIz,Moral,Tom,Empatia,Sexo,Edad,AccuracyDer,AdapSoc,FunEjec
1,34,1,29,63,0,62,13,40,25
2,13,,23,55,0,53,8,43,175
3,20,1,26,27,0,18,14,38,18
4,24,1,21,33,0,40,14,48,16
5,20,1,18,35,1,65,15,48,175
6,2,0,23,38,,,12,35,205
7,13,1,19,38,0,56,5,16,8
8,27,1,15,42,1,70,8,41,21
9,37,1,23,36,0,43,23,38,26
10,27,0,20,51,1,52,9,24,8
11,11,0,24,33,0,22,12,45,15
12,7,1,18,43,0,55,5,30,7
13,16,1,26,48,0,19,14,44,26
14,20,1,17,49,0,49,8,47,135
15,14,1,21,30,0,27,13,38,21
16,12,,8,48,0,24,7,41,3
17,36,1,32,51,0,24,16,42,24
18,18,1,18,33,0,25,13,25,20
19,49,,18,43,,,21,50,27
20,26,1,30,32,0,34,12,28,55
21,18,1,14,41,0,61,9,45,12
22,29,0,22,46,1,67,9,,145
23,14,1,32,62,0,45,17,48,195
24,7,1,14,50,0,47,9,48,11
25,12,1,17,50,0,65,9,43,9
26,40,,30,32,1,33,21,43,17
27,18,0,16,38,0,39,5,25,17
28,15,1,16,59,1,57,8,43,8
29,19,1,,49,0,23,15,35,25
30,22,1,20,49,1,59,11,50,18
31,19,1,20,39,1,45,16,34,18
32,15,1,18,48,1,53,5,30,12
33,28,0,14,47,1,70,7,38,18
34,34,1,23,38,0,27,16,32,16
35,14,1,27,48,1,30,7,28,15
36,31,1,23,45,1,48,17,29,20
37,21,1,17,54,1,55,10,54,165
38,15,1,,45,1,61,4,30,12
39,6,1,19,39,0,22,9,39,145
40,27,1,25,52,1,47,17,40,18
41,22,1,23,38,1,53,18,37,205
42,18,1,16,31,1,44,9,29,6
43,26,1,22,42,0,48,5,31,4
44,10,1,,,,,10,27,0
45,23,1,12,63,1,45,5,42,105
46,38,1,29,52,1,45,18,42,195
47,16,1,16,48,1,59,7,35,65
48,24,1,20,49,1,34,15,28,145
49,24,0,24,48,1,73,4,43,21
50,27,1,19,45,1,58,9,41,16
51,9,0,13,38,1,56,4,29,25
52,13,1,22,44,1,28,7,28,14
53,26,1,31,58,0,26,,34,195
54,19,1,28,28,0,18,13,30,215
55,42,1,25,55,0,33,11,43,24
56,14,1,22,47,0,35,13,40,205
57,37,1,27,36,0,21,12,39,27
58,16,1,29,46,0,36,8,50,21
59,20,1,23,54,0,50,6,45,17
