Id,AccuracyIz,Moral,Tom,Empatia,Sexo,Edad,AccuracyDer,AdapSoc,FunEjec
60,31,0,,59,1,43,17,49,205
61,21,1,19,40,0,23,12,32,195
62,17,1,25,22,0,18,6,31,22
63,32,1,26,54,1,20,17,40,25
64,28,0,26,41,1,18,12,46,215
65,18,1,27,44,0,22,12,46,19
66,24,1,24,28,0,25,16,48,20
67,19,1,20,48,1,41,9,55,22
68,27,1,30,46,1,30,12,51,225
69,26,1,22,35,0,18,14,36,215
70,37,0,26,53,0,41,14,51,22
71,25,0,24,50,1,52,11,30,21
72,34,1,29,58,0,20,21,50,23
73,15,1,21,51,0,50,5,42,17
74,16,1,21,56,0,48,6,45,185
75,25,0,23,56,0,48,13,43,165
76,42,0,28,63,0,47,9,56,225
77,34,1,26,40,0,34,20,52,255
78,22,0,26,45,0,54,8,38,17
79,22,1,24,61,0,37,10,48,19
80,17,1,21,56,0,54,8,30,13
81,20,1,15,56,0,58,9,50,21
82,38,1,24,48,1,38,14,55,23
83,31,1,21,61,0,40,23,50,24
84,27,0,27,44,0,32,10,44,17
85,15,1,25,31,0,23,10,32,20
86,14,1,12,39,1,54,8,36,17
87,,0,22,38,1,34,11,44,18
88,28,0,17,42,1,57,6,44,19
89,14,0,23,32,1,27,8,29,175
90,22,1,22,45,0,26,12,35,21
91,37,1,20,41,1,54,15,48,225
92,19,0,18,45,1,55,7,45,17
93,19,0,23,46,1,40,13,45,22
94,11,0,17,39,1,58,11,41,19
95,14,0,21,36,1,28,8,43,22
96,20,1,14,43,1,51,5,43,14
97,13,1,24,27,1,35,9,33,18
98,34,1,32,27,1,19,24,44,24
99,6,1,19,38,0,56,5,39,13
100,13,1,22,35,1,49,14,50,185
101,25,1,27,33,1,33,15,43,175
102,32,0,27,42,1,57,7,34,195
103,23,0,21,46,1,56,9,41,165
104,19,0,14,39,1,64,6,,155
105,40,1,28,52,1,46,9,56,23
106,10,0,22,51,0,62,8,15,20
107,21,1,22,44,0,89,7,55,195
108,38,1,30,46,1,29,19,43,26
109,25,1,26,56,0,67,7,32,18
110,10,1,17,38,0,58,9,35,16
111,30,1,24,55,0,68,13,48,205
112,16,1,24,53,0,61,7,57,205
113,16,1,24,55,0,46,3,39,17
114,32,1,22,26,0,40,7,49,19
115,13,1,17,56,0,51,6,32,10
116,26,1,25,39,1,33,12,42,14
117,6,1,18,39,0,54,9,43,19
118,33,0,31,43,0,19,21,46,27
119,19,,21,50,0,38,8,32,135
120,20,0,23,33,1,27,9,41,125
121,12,1,16,38,1,79,6,25,13
122,14,1,21,39,0,23,16,31,23
123,23,1,22,32,1,27,18,46,22
124,38,1,27,40,0,19,19,46,21
125,16,1,26,41,1,36,7,47,20
126,30,1,26,31,0,24,7,38,185
127,20,1,22,37,1,40,17,35,21
128,7,1,21,41,1,19,12,37,15
129,15,0,23,38,1,42,12,50,18
130,27,1,28,54,0,19,14,38,20
131,13,1,20,40,0,33,13,37,19
132,32,1,23,36,0,34,19,35,27
133,39,1,15,36,1,27,14,48,25
134,22,1,25,50,0,31,16,43,24
135,17,1,21,36,0,50,8,26,195
136,15,0,24,43,1,53,11,33,19
137,14,1,14,46,0,56,6,43,175
138,25,1,15,46,0,49,8,46,175
139,39,0,19,55,0,52,17,44,195
140,22,1,18,43,0,34,17,32,195
141,24,0,24,38,0,36,18,54,225
142,23,0,18,33,1,43,10,49,165
143,30,0,26,43,0,38,22,50,26
144,14,0,15,36,0,43,5,34,18
145,25,1,27,44,0,24,17,43,265
146,10,1,20,37,1,50,8,40,19
147,29,0,23,39,1,44,9,40,21
148,8,1,22,34,1,42,6,,19
149,30,0,20,41,1,44,17,28,25
150,24,1,20,,1,51,,21,215
151,18,1,21,41,0,43,8,42,175
152,37,1,20,46,1,47,19,47,245
153,23,1,24,38,1,48,14,43,22
154,38,0,24,48,1,33,19,40,215
155,18,0,25,41,1,31,16,40,21
156,9,0,9,27,1,68,7,41,13
157,16,0,6,27,1,52,9,28,11
158,27,1,23,38,1,52,11,36,205
159,28,1,24,35,0,22,19,39,23
160,16,0,22,46,0,40,8,48,195
161,18,0,21,33,1,53,13,30,19
162,22,1,26,42,1,55,10,46,195
163,13,1,17,40,1,19,11,48,195
164,9,1,16,29,1,28,14,35,20
165,7,1,22,32,1,18,8,25,19
166,29,0,22,41,1,52,10,45,205
167,20,1,20,47,0,65,6,49,18
168,22,1,21,50,0,56,11,42,
169,24,0,17,32,1,41,15,37,235
170,16,1,25,50,0,57,8,40,20
171,19,1,24,49,0,56,12,47,24
172,23,1,27,53,0,49,16,38,20
173,23,1,25,51,0,51,10,14,205
174,23,1,26,53,0,45,8,39,22
175,14,1,23,28,0,45,8,34,185
176,15,1,22,39,1,25,13,,19
177,12,0,19,43,0,45,7,44,14
178,24,1,24,46,0,50,6,50,17
179,33,1,29,37,0,24,20,43,25
180,27,1,27,62,0,30,9,46,21
181,25,1,26,52,0,18,15,37,195
182,12,1,17,34,0,19,9,39,20
183,10,0,23,42,0,32,11,21,23
184,37,1,17,41,1,23,19,42,18
185,11,1,14,28,1,20,11,41,16
186,20,1,25,58,0,40,12,49,22
187,30,0,24,47,0,39,16,,25
188,28,0,27,44,0,24,7,35,23
189,19,1,19,53,0,56,6,34,17
190,23,0,25,48,1,26,8,39,20
191,27,1,24,48,1,45,11,37,20
192,37,1,,44,0,51,16,44,26
193,26,0,23,35,1,52,8,44,195
194,41,1,24,57,1,33,20,51,245
195,30,0,27,40,0,23,15,44,235
196,21,0,27,45,0,28,12,39,22
197,17,0,15,46,0,62,9,28,15
198,12,1,23,38,0,22,10,36,19
199,23,1,17,42,0,59,8,34,195
200,23,0,24,50,0,51,11,51,18
201,24,0,20,46,1,45,12,52,205
202,26,0,24,52,1,54,9,44,22
203,19,1,26,29,1,45,8,48,20
204,16,1,20,51,1,53,7,35,155
205,26,1,25,57,1,23,20,46,22
206,14,0,23,56,1,67,10,41,235
207,35,1,29,50,1,23,22,49,28
208,16,0,21,58,1,63,8,47,17
209,20,0,20,56,0,36,6,30,17
210,24,0,22,50,1,32,11,47,165
211,28,0,22,49,0,41,15,40,215
212,20,0,21,44,1,39,14,45,21
213,25,0,24,37,0,18,14,36,25
214,28,0,20,36,1,60,6,27,18
215,12,1,17,45,1,65,6,43,18
216,35,0,29,49,1,61,14,42,25
217,27,1,24,49,1,38,13,38,235
218,32,1,10,54,1,76,8,,12
219,20,0,21,44,1,59,10,46,15
220,14,0,14,48,1,51,12,35,10
221,26,0,23,65,1,54,13,50,23
222,35,0,17,47,1,47,13,44,215
223,42,0,27,26,1,28,18,36,21
224,37,1,25,45,1,38,18,42,23
225,24,0,20,39,1,31,11,43,175
226,36,1,28,49,1,34,15,39,225
227,14,0,27,54,1,50,10,43,235
228,29,1,26,56,1,20,14,50,24
229,23,0,16,52,1,50,12,47,195
230,30,1,24,35,0,46,13,38,195
231,11,0,23,47,0,51,5,37,11
232,28,0,24,36,1,21,17,38,235
233,13,1,19,39,0,54,6,33,22
234,21,1,25,51,0,60,16,45,22
235,30,0,27,53,0,47,9,39,23
236,23,0,21,55,0,63,10,37,20
237,36,0,25,40,1,38,18,40,24
